date,close
2026-05-06,160.89
2026-05-07,162.68
2026-05-08,164.33
2026-05-11,165.65
2026-05-12,166.49
2026-05-13,166.77
2026-05-14,166.46
2026-05-15,165.58
2026-05-18,164.23
2026-05-19,162.57
2026-05-20,160.77
2026-05-21,159.04
2026-05-22,157.56
2026-05-25,156.5
2026-05-26,155.97
2026-05-27,156.04
2026-05-28,156.68
2026-05-29,157.85
2026-06-01,159.39
2026-06-02,161.16
2026-06-03,162.94
2026-06-04,164.55
2026-06-05,165.81
2026-06-08,166.57
2026-06-09,166.77
2026-06-10,166.36
2026-06-11,165.4
2026-06-12,164.0
2026-06-15,162.31
2026-06-16,160.51
2026-06-17,158.8
2026-06-18,157.37
2026-06-19,156.38
2026-06-22,155.94
2026-06-23,156.1
2026-06-24,156.83
2026-06-25,158.06
2026-06-26,159.65
